ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006790	sulfur compound metabolic process	24/156	336/20772	7.08622438478801e-17	1.02750253579426e-13	8.66011211656724e-14	ENSG00000099797/ENSG00000124370/ENSG00000169814/ENSG00000136720/ENSG00000123983/ENSG00000012232/ENSG00000153936/ENSG00000135677/ENSG00000167508/ENSG00000172340/ENSG00000123505/ENSG00000138604/ENSG00000259431/ENSG00000131067/ENSG00000145293/ENSG00000001084/ENSG00000136213/ENSG00000131473/ENSG00000163541/ENSG00000136143/ENSG00000105607/ENSG00000015532/ENSG00000147119/ENSG00000131069	24
GO:0008654	phospholipid biosynthetic process	21/156	290/20772	5.36793685144921e-15	3.89175421730068e-12	3.28009193922765e-12	ENSG00000063601/ENSG00000160752/ENSG00000101464/ENSG00000134324/ENSG00000123983/ENSG00000163964/ENSG00000175283/ENSG00000110536/ENSG00000277161/ENSG00000078142/ENSG00000167508/ENSG00000241973/ENSG00000051382/ENSG00000142892/ENSG00000067064/ENSG00000128039/ENSG00000145675/ENSG00000111684/ENSG00000139505/ENSG00000255072/ENSG00000176095	21
GO:0006650	glycerophospholipid metabolic process	19/156	341/20772	1.19207730721864e-11	5.10471971355144e-09	4.3024171233635e-09	ENSG00000063601/ENSG00000101464/ENSG00000134324/ENSG00000032444/ENSG00000123983/ENSG00000163964/ENSG00000110536/ENSG00000277161/ENSG00000078142/ENSG00000241973/ENSG00000051382/ENSG00000142892/ENSG00000145675/ENSG00000111684/ENSG00000139505/ENSG00000135241/ENSG00000255072/ENSG00000176095/ENSG00000068383	19
GO:0006497	protein lipidation	12/156	101/20772	1.40819854166936e-11	5.10471971355144e-09	4.3024171233635e-09	ENSG00000156599/ENSG00000101464/ENSG00000175048/ENSG00000104219/ENSG00000163964/ENSG00000099904/ENSG00000277161/ENSG00000078142/ENSG00000142892/ENSG00000163812/ENSG00000136247/ENSG00000255072	12
GO:0042158	lipoprotein biosynthetic process	12/156	106/20772	2.5176363630799e-11	7.30114545293171e-09	6.15363330007529e-09	ENSG00000156599/ENSG00000101464/ENSG00000175048/ENSG00000104219/ENSG00000163964/ENSG00000099904/ENSG00000277161/ENSG00000078142/ENSG00000142892/ENSG00000163812/ENSG00000136247/ENSG00000255072	12
GO:0044272	sulfur compound biosynthetic process	14/156	167/20772	3.22253110700058e-11	7.78778350858472e-09	6.56378704425907e-09	ENSG00000099797/ENSG00000136720/ENSG00000123983/ENSG00000012232/ENSG00000153936/ENSG00000138604/ENSG00000131067/ENSG00000145293/ENSG00000136213/ENSG00000131473/ENSG00000105607/ENSG00000015532/ENSG00000147119/ENSG00000131069	14
GO:0009062	fatty acid catabolic process	12/156	111/20772	4.36878227472575e-11	8.96558310638115e-09	7.55647331143994e-09	ENSG00000124370/ENSG00000134324/ENSG00000198721/ENSG00000127884/ENSG00000140374/ENSG00000167969/ENSG00000100294/ENSG00000072506/ENSG00000116171/ENSG00000105607/ENSG00000167114/ENSG00000138796	12
GO:0046474	glycerophospholipid biosynthetic process	16/156	244/20772	4.94652861041719e-11	8.96558310638115e-09	7.55647331143994e-09	ENSG00000063601/ENSG00000101464/ENSG00000134324/ENSG00000123983/ENSG00000163964/ENSG00000110536/ENSG00000277161/ENSG00000078142/ENSG00000241973/ENSG00000051382/ENSG00000142892/ENSG00000145675/ENSG00000111684/ENSG00000139505/ENSG00000255072/ENSG00000176095	16
GO:0044242	cellular lipid catabolic process	16/156	246/20772	5.58829997531479e-11	9.00337218245161e-09	7.58832312437482e-09	ENSG00000124370/ENSG00000134324/ENSG00000198721/ENSG00000032444/ENSG00000164535/ENSG00000127884/ENSG00000140374/ENSG00000167969/ENSG00000100294/ENSG00000072506/ENSG00000116171/ENSG00000128039/ENSG00000105607/ENSG00000135241/ENSG00000167114/ENSG00000138796	16
GO:0006520	amino acid metabolic process	17/156	325/20772	4.07585219348005e-10	5.90998568054607e-08	4.98112041750562e-08	ENSG00000116120/ENSG00000090861/ENSG00000127884/ENSG00000166986/ENSG00000114021/ENSG00000140374/ENSG00000072506/ENSG00000145293/ENSG00000106049/ENSG00000001084/ENSG00000106105/ENSG00000134684/ENSG00000115758/ENSG00000110619/ENSG00000105607/ENSG00000124299/ENSG00000065154	17
