ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0009165	nucleotide biosynthetic process	33/223	326/20772	1.1817812334952e-22	1.2113929442592e-19	1.01604110128999e-19	ENSG00000128059/ENSG00000162104/ENSG00000163738/ENSG00000178921/ENSG00000166548/ENSG00000173915/ENSG00000228253/ENSG00000198763/ENSG00000023228/ENSG00000198886/ENSG00000198712/ENSG00000168393/ENSG00000212907/ENSG00000183696/ENSG00000012660/ENSG00000114491/ENSG00000154930/ENSG00000114956/ENSG00000198695/ENSG00000173614/ENSG00000103202/ENSG00000198899/ENSG00000122912/ENSG00000198786/ENSG00000008130/ENSG00000221988/ENSG00000138621/ENSG00000047230/ENSG00000150768/ENSG00000198888/ENSG00000198840/ENSG00000178035/ENSG00000112874	33
GO:1901293	nucleoside phosphate biosynthetic process	33/223	328/20772	1.43529969698957e-22	1.2113929442592e-19	1.01604110128999e-19	ENSG00000128059/ENSG00000162104/ENSG00000163738/ENSG00000178921/ENSG00000166548/ENSG00000173915/ENSG00000228253/ENSG00000198763/ENSG00000023228/ENSG00000198886/ENSG00000198712/ENSG00000168393/ENSG00000212907/ENSG00000183696/ENSG00000012660/ENSG00000114491/ENSG00000154930/ENSG00000114956/ENSG00000198695/ENSG00000173614/ENSG00000103202/ENSG00000198899/ENSG00000122912/ENSG00000198786/ENSG00000008130/ENSG00000221988/ENSG00000138621/ENSG00000047230/ENSG00000150768/ENSG00000198888/ENSG00000198840/ENSG00000178035/ENSG00000112874	33
GO:0046390	ribose phosphate biosynthetic process	28/223	265/20772	7.67154789472908e-20	4.31652428210089e-17	3.6204322520739e-17	ENSG00000128059/ENSG00000162104/ENSG00000178921/ENSG00000173915/ENSG00000228253/ENSG00000198763/ENSG00000023228/ENSG00000198886/ENSG00000198712/ENSG00000212907/ENSG00000183696/ENSG00000012660/ENSG00000114491/ENSG00000154930/ENSG00000114956/ENSG00000198695/ENSG00000103202/ENSG00000198899/ENSG00000122912/ENSG00000198786/ENSG00000221988/ENSG00000138621/ENSG00000163931/ENSG00000047230/ENSG00000150768/ENSG00000198888/ENSG00000198840/ENSG00000178035	28
GO:0072522	purine-containing compound biosynthetic process	29/223	301/20772	2.1102730049771e-19	8.90535208100336e-17	7.46925576761631e-17	ENSG00000128059/ENSG00000162104/ENSG00000163738/ENSG00000178921/ENSG00000173915/ENSG00000228253/ENSG00000099810/ENSG00000198763/ENSG00000023228/ENSG00000198886/ENSG00000198712/ENSG00000212907/ENSG00000012660/ENSG00000154930/ENSG00000114956/ENSG00000198695/ENSG00000173614/ENSG00000103202/ENSG00000198899/ENSG00000122912/ENSG00000198786/ENSG00000008130/ENSG00000221988/ENSG00000138621/ENSG00000150768/ENSG00000198888/ENSG00000198840/ENSG00000178035/ENSG00000112874	29
GO:0009260	ribonucleotide biosynthetic process	27/223	258/20772	4.67755504387919e-19	1.57914258281361e-16	1.32448663874053e-16	ENSG00000128059/ENSG00000162104/ENSG00000178921/ENSG00000173915/ENSG00000228253/ENSG00000198763/ENSG00000023228/ENSG00000198886/ENSG00000198712/ENSG00000212907/ENSG00000183696/ENSG00000012660/ENSG00000114491/ENSG00000154930/ENSG00000114956/ENSG00000198695/ENSG00000103202/ENSG00000198899/ENSG00000122912/ENSG00000198786/ENSG00000221988/ENSG00000138621/ENSG00000047230/ENSG00000150768/ENSG00000198888/ENSG00000198840/ENSG00000178035	27
GO:0006164	purine nucleotide biosynthetic process	28/223	291/20772	9.51589045782313e-19	2.67713718213424e-16	2.245416257153e-16	ENSG00000128059/ENSG00000162104/ENSG00000163738/ENSG00000178921/ENSG00000173915/ENSG00000228253/ENSG00000198763/ENSG00000023228/ENSG00000198886/ENSG00000198712/ENSG00000212907/ENSG00000012660/ENSG00000154930/ENSG00000114956/ENSG00000198695/ENSG00000173614/ENSG00000103202/ENSG00000198899/ENSG00000122912/ENSG00000198786/ENSG00000008130/ENSG00000221988/ENSG00000138621/ENSG00000150768/ENSG00000198888/ENSG00000198840/ENSG00000178035/ENSG00000112874	28
GO:0070085	glycosylation	25/223	262/20772	9.3517259659051e-17	2.2551019186354e-14	1.89143931190111e-14	ENSG00000088035/ENSG00000167130/ENSG00000171155/ENSG00000172728/ENSG00000164574/ENSG00000181830/ENSG00000148288/ENSG00000121578/ENSG00000136840/ENSG00000143315/ENSG00000013375/ENSG00000182858/ENSG00000182197/ENSG00000119523/ENSG00000173540/ENSG00000033011/ENSG00000136731/ENSG00000131446/ENSG00000064225/ENSG00000069943/ENSG00000136908/ENSG00000196371/ENSG00000152127/ENSG00000187676/ENSG00000172339	25
GO:0006520	amino acid metabolic process	27/223	325/20772	1.73091497558426e-16	3.65223059848279e-14	3.0632640028432e-14	ENSG00000128059/ENSG00000157426/ENSG00000100116/ENSG00000163738/ENSG00000178921/ENSG00000145020/ENSG00000146733/ENSG00000140105/ENSG00000133706/ENSG00000099810/ENSG00000147576/ENSG00000166123/ENSG00000128928/ENSG00000083123/ENSG00000102172/ENSG00000081181/ENSG00000132570/ENSG00000125166/ENSG00000151498/ENSG00000150787/ENSG00000047230/ENSG00000116984/ENSG00000120053/ENSG00000059573/ENSG00000177000/ENSG00000114054/ENSG00000228716	27
GO:0009152	purine ribonucleotide biosynthetic process	24/223	244/20772	1.98690173292795e-16	3.72654458353598e-14	3.12559395413812e-14	ENSG00000128059/ENSG00000162104/ENSG00000178921/ENSG00000173915/ENSG00000228253/ENSG00000198763/ENSG00000023228/ENSG00000198886/ENSG00000198712/ENSG00000212907/ENSG00000012660/ENSG00000154930/ENSG00000114956/ENSG00000198695/ENSG00000103202/ENSG00000198899/ENSG00000122912/ENSG00000198786/ENSG00000221988/ENSG00000138621/ENSG00000150768/ENSG00000198888/ENSG00000198840/ENSG00000178035	24
GO:0006486	protein glycosylation	23/223	241/20772	1.68186579957655e-15	2.58089951789565e-13	2.16469808653633e-13	ENSG00000088035/ENSG00000167130/ENSG00000171155/ENSG00000172728/ENSG00000164574/ENSG00000181830/ENSG00000148288/ENSG00000121578/ENSG00000136840/ENSG00000013375/ENSG00000182858/ENSG00000182197/ENSG00000119523/ENSG00000173540/ENSG00000033011/ENSG00000136731/ENSG00000131446/ENSG00000064225/ENSG00000136908/ENSG00000196371/ENSG00000152127/ENSG00000187676/ENSG00000172339	23
GO:0043413	macromolecule glycosylation	23/223	241/20772	1.68186579957655e-15	2.58089951789565e-13	2.16469808653633e-13	ENSG00000088035/ENSG00000167130/ENSG00000171155/ENSG00000172728/ENSG00000164574/ENSG00000181830/ENSG00000148288/ENSG00000121578/ENSG00000136840/ENSG00000013375/ENSG00000182858/ENSG00000182197/ENSG00000119523/ENSG00000173540/ENSG00000033011/ENSG00000136731/ENSG00000131446/ENSG00000064225/ENSG00000136908/ENSG00000196371/ENSG00000152127/ENSG00000187676/ENSG00000172339	23
GO:0006643	membrane lipid metabolic process	22/223	227/20772	5.15283283836436e-15	7.24831819263254e-13	6.07943874350883e-13	ENSG00000148154/ENSG00000049860/ENSG00000170266/ENSG00000067113/ENSG00000148288/ENSG00000121578/ENSG00000136840/ENSG00000143315/ENSG00000126821/ENSG00000162407/ENSG00000102393/ENSG00000012660/ENSG00000165282/ENSG00000108474/ENSG00000090661/ENSG00000064225/ENSG00000069943/ENSG00000136908/ENSG00000090054/ENSG00000198951/ENSG00000221968/ENSG00000138744	22
GO:0009101	glycoprotein biosynthetic process	26/223	345/20772	6.73717046918056e-15	8.74795673228983e-13	7.33724233283227e-13	ENSG00000088035/ENSG00000131873/ENSG00000057252/ENSG00000167130/ENSG00000033100/ENSG00000171155/ENSG00000172728/ENSG00000164574/ENSG00000181830/ENSG00000148288/ENSG00000121578/ENSG00000136840/ENSG00000013375/ENSG00000182858/ENSG00000182197/ENSG00000119523/ENSG00000173540/ENSG00000033011/ENSG00000136731/ENSG00000131446/ENSG00000064225/ENSG00000136908/ENSG00000196371/ENSG00000152127/ENSG00000187676/ENSG00000172339	26
GO:1901605	alpha-amino acid metabolic process	21/223	228/20772	6.07981364952597e-14	7.33051817171417e-12	6.14838297640032e-12	ENSG00000128059/ENSG00000100116/ENSG00000163738/ENSG00000178921/ENSG00000145020/ENSG00000146733/ENSG00000099810/ENSG00000147576/ENSG00000166123/ENSG00000128928/ENSG00000102172/ENSG00000081181/ENSG00000132570/ENSG00000125166/ENSG00000151498/ENSG00000047230/ENSG00000116984/ENSG00000120053/ENSG00000059573/ENSG00000177000/ENSG00000228716	21
GO:0006790	sulfur compound metabolic process	24/223	336/20772	2.52858949375026e-13	2.84550604363362e-11	2.38663359234673e-11	ENSG00000168906/ENSG00000163738/ENSG00000131873/ENSG00000049860/ENSG00000033100/ENSG00000099810/ENSG00000165102/ENSG00000170266/ENSG00000121578/ENSG00000185000/ENSG00000159267/ENSG00000012660/ENSG00000182197/ENSG00000154930/ENSG00000102172/ENSG00000117479/ENSG00000181523/ENSG00000084207/ENSG00000151093/ENSG00000221988/ENSG00000064225/ENSG00000116984/ENSG00000150768/ENSG00000177000	24
GO:0009142	nucleoside triphosphate biosynthetic process	17/223	150/20772	5.54807401249617e-13	5.85321808318345e-11	4.90931549132062e-11	ENSG00000173915/ENSG00000228253/ENSG00000198763/ENSG00000023228/ENSG00000198886/ENSG00000198712/ENSG00000168393/ENSG00000212907/ENSG00000114956/ENSG00000198695/ENSG00000103202/ENSG00000198899/ENSG00000198786/ENSG00000047230/ENSG00000198888/ENSG00000198840/ENSG00000178035	17
GO:0009141	nucleoside triphosphate metabolic process	22/223	303/20772	1.90263173001387e-12	1.88920138839025e-10	1.58454469155954e-10	ENSG00000173915/ENSG00000228253/ENSG00000198763/ENSG00000023228/ENSG00000198886/ENSG00000198712/ENSG00000168393/ENSG00000212907/ENSG00000165609/ENSG00000114956/ENSG00000198695/ENSG00000079739/ENSG00000159322/ENSG00000173614/ENSG00000103202/ENSG00000198899/ENSG00000198786/ENSG00000008130/ENSG00000047230/ENSG00000198888/ENSG00000198840/ENSG00000178035	22
GO:0009201	ribonucleoside triphosphate biosynthetic process	16/223	139/20772	2.13907974170363e-12	2.0059814466643e-10	1.68249254537508e-10	ENSG00000173915/ENSG00000228253/ENSG00000198763/ENSG00000023228/ENSG00000198886/ENSG00000198712/ENSG00000212907/ENSG00000114956/ENSG00000198695/ENSG00000103202/ENSG00000198899/ENSG00000198786/ENSG00000047230/ENSG00000198888/ENSG00000198840/ENSG00000178035	16
GO:0009060	aerobic respiration	19/223	219/20772	2.9126275549644e-12	2.58763963830522e-10	2.17035128056904e-10	ENSG00000198804/ENSG00000228253/ENSG00000198763/ENSG00000023228/ENSG00000198886/ENSG00000198712/ENSG00000100412/ENSG00000212907/ENSG00000169021/ENSG00000198727/ENSG00000114956/ENSG00000198695/ENSG00000062485/ENSG00000198899/ENSG00000198786/ENSG00000198938/ENSG00000150768/ENSG00000198888/ENSG00000198840	19
GO:0009199	ribonucleoside triphosphate metabolic process	21/223	285/20772	4.68985257699867e-12	3.95823557498688e-10	3.31992195582274e-10	ENSG00000173915/ENSG00000228253/ENSG00000198763/ENSG00000023228/ENSG00000198886/ENSG00000198712/ENSG00000212907/ENSG00000165609/ENSG00000114956/ENSG00000198695/ENSG00000079739/ENSG00000159322/ENSG00000173614/ENSG00000103202/ENSG00000198899/ENSG00000198786/ENSG00000008130/ENSG00000047230/ENSG00000198888/ENSG00000198840/ENSG00000178035	21
GO:0006066	alcohol metabolic process	24/223	394/20772	7.62408574751282e-12	6.12831273419126e-10	5.14004778466403e-10	ENSG00000057252/ENSG00000148377/ENSG00000067113/ENSG00000100412/ENSG00000185000/ENSG00000126821/ENSG00000085662/ENSG00000162407/ENSG00000205808/ENSG00000107789/ENSG00000154930/ENSG00000132570/ENSG00000145725/ENSG00000150787/ENSG00000136908/ENSG00000204084/ENSG00000090054/ENSG00000120053/ENSG00000049239/ENSG00000072042/ENSG00000160439/ENSG00000138744/ENSG00000228716/ENSG00000132423	24
GO:0015980	energy derivation by oxidation of organic compounds	23/223	365/20772	1.07597670013542e-11	8.25567577194812e-10	6.9243476635509e-10	ENSG00000044446/ENSG00000067177/ENSG00000198804/ENSG00000228253/ENSG00000198763/ENSG00000023228/ENSG00000198886/ENSG00000198712/ENSG00000100412/ENSG00000212907/ENSG00000169021/ENSG00000198727/ENSG00000114956/ENSG00000198695/ENSG00000062485/ENSG00000198899/ENSG00000117054/ENSG00000198786/ENSG00000198938/ENSG00000162688/ENSG00000150768/ENSG00000198888/ENSG00000198840	23
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	15/223	133/20772	1.43501580392261e-11	1.05317681609625e-09	8.83339247723528e-10	ENSG00000173915/ENSG00000228253/ENSG00000198763/ENSG00000023228/ENSG00000198886/ENSG00000198712/ENSG00000212907/ENSG00000114956/ENSG00000198695/ENSG00000103202/ENSG00000198899/ENSG00000198786/ENSG00000198888/ENSG00000198840/ENSG00000178035	15
